,Anomaly:Inflight Event / Encounter Weather / Turbulence,Human Factors:Troubleshooting,Human Factors:Time Pressure,Human Factors:Workload,Human Factors:Situational Awareness,Human Factors:Distraction,Human Factors:Confusion,Human Factors:Training / Qualification,Anomaly:Ground Event / Encounter Weather / Turbulence,Anomaly:Inflight Event / Encounter Bird / Animal,Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter FOD,Human Factors:Human-Machine Interface,Human Factors:Communication Breakdown,Anomaly:Ground Event / Encounter Person / Animal / Bird,Human Factors:Other / Unknown,Anomaly:Inflight Event / Encounter Fly Away (UAS),Human Factors:Fatigue,Anomaly:Inflight Event / Encounter Wake Vortex Encounter,Anomaly:Inflight Event / Encounter Object,Anomaly:Ground Event / Encounter Loss Of VLOS (UAS),Human Factors:Physiological - Other
Anomaly:ATC Issue All Types,0.001817967052430914,0.000958798864773,0.0007244336614151345,0.0007023006981955113,0.0006632333999589584,0.0005921172882316222,0.0005921172882316222,0.0005811427993588358,0.0005045426945543552,0.0002770342439670642,0.00021390122709061613,0.00016988355401903465,0.00016255751399221318,0.0001624527968684692,0.00014854386367814734,0.00013788525562899445,0.00013788525562899445,8.470416702030872e-05,7.40902665426861e-05,5.7666343841400285e-05,3.1708709444543126e-05,1.0562213370199532e-05
Anomaly:Aircraft Equipment Problem Critical,0.0058366681193825765,0.008053859728360535,0.005747508491967333,0.001824826031735824,0.0001562960665200397,0.00042471958909370833,0.0016908761630056168,0.000605942398488761,0.003352942008109528,0.0011567639191722504,0.025910430309610412,0.0018781095289892129,0.00525364097277925,6.671083092463226e-07,0.00019805108170658364,0.000166965758092592,0.005548738016215141,0.00011269102187067351,0.002477801619605681,0.0006323684072862198,0.00029942380624766417,0.0006322417243926539
Anomaly:Aircraft Equipment Problem Less Severe,0.00040080413063693643,0.0005341221300469989,0.00045715243061747457,0.0008634301986219228,1.5675575611037718e-05,0.00018110878174703443,0.00036065245183919403,1.8442035513703547e-05,0.0010083864581223664,6.183848852428162e-05,0.0007712670314993925,0.00041536734840392706,9.434450052190138e-05,5.434696632895808e-05,0.0006752631703820927,5.752739203667909e-05,0.0005113917719539139,0.00046872847438862546,0.0010650577113114103,0.0012443086949991428,0.0004557469073035083,0.00015179826826784877
Anomaly:Airspace Violation All Types,0.0002936075185408227,0.00017320456880695959,0.0001308736512018703,0.0001268757845661675,0.00039518043061142344,0.00010697284029009477,0.00010697284029009477,0.00010499041550235746,9.115316153305089e-05,5.0052754430211094e-05,0.00010195489865438834,3.0694145576225934e-05,5.978320627003306e-05,0.00026616037350983904,2.6838661297330646e-05,2.4912936565814683e-05,2.4912936565814683e-05,1.530441213094813e-05,1.3386714050212835e-05,0.0009440018483134619,5.729216019247085e-06,1.90841781506218e-06
Anomaly:Conflict Airborne Conflict,0.00036714340090463274,0.00021658303014659291,0.0001636500355135101,0.00015865089027708792,0.0004941593234122528,0.00013376322837563986,0.00013376322837563986,0.00013128430633237848,0.00011398153713162648,6.258778990001976e-05,0.000546863358528802,3.83810321769925e-05,7.475514806339414e-05,0.0001881245627117726,3.355999173805177e-05,3.115199504151976e-05,3.115199504151976e-05,1.9137153131157728e-05,1.673919674772227e-05,0.0007899889735789182,7.16400063600995e-06,2.3863479952394503e-06
"Anomaly:Conflict Ground Conflict, Critical",0.007452067759900954,0.0002810525835598675,0.0006781955166877251,0.0006213741918597287,0.004526230724418545,5.700278095383503e-05,0.001473762999491316,0.001011144865208374,7.560090539675962e-05,0.001268376234305424,0.001999346893853171,0.0007777189955324934,0.00026469190601133286,0.006662799718359383,0.0021747230811939196,0.00040262190024173417,0.0006312135554766285,0.00038774115516689717,0.0003391517196556851,0.0006251143268546705,0.00014514245119542392,4.834620218351765e-05
"Anomaly:Conflict Ground Conflict, Less Severe",0.000278526798330978,0.0009148870253538402,3.1472263297121356e-07,1.2833300616372362e-06,0.00010031484862054948,0.0005650015050595661,1.7454982644985427e-05,0.0005545296608958222,4.7460187977091395e-05,0.00026434854921976447,0.002447314572182762,0.00016210460694907405,0.00031574229645054547,0.00020503561502215138,0.0001417420936278141,0.00013157155572307566,0.00013157155572307566,8.082565366720335e-05,7.069776106519848e-05,0.00043983602467574656,3.025682008699071e-05,1.0078589556340549e-05
Anomaly:Conflict NMAC,0.00015097968128211306,0.00021658303014659291,0.0001636500355135101,0.00015865089027708792,5.937046024359974e-05,0.00013376322837563986,0.00013376322837563986,0.00013128430633237848,0.00011398153713162648,6.258778990001976e-05,0.000546863358528802,3.83810321769925e-05,7.475514806339414e-05,0.0001881245627117726,3.355999173805177e-05,3.115199504151976e-05,3.115199504151976e-05,1.9137153131157728e-05,1.673919674772227e-05,0.0026238717657348105,7.16400063600995e-06,2.3863479952394503e-06
Anomaly:Deviation - Altitude Excursion From Assigned Altitude,0.004703114425320277,0.00047750669413280933,0.0003607978424919056,0.0003497757240913321,0.0010895849456659529,0.0002949039104412979,0.0002949039104412979,0.00028943848036252356,0.0002512902502230657,0.00013798245951854998,0.0012058147338729688,8.461506782805189e-05,0.00016480750723799065,0.0002978734870083821,7.39864628210643e-05,6.867773546645473e-05,6.867773546645473e-05,4.2189642818803164e-05,3.690309699485271e-05,0.00022957702408432645,1.5793651716760476e-05,5.2609005134502534e-06
Anomaly:Deviation - Altitude Overshoot,0.0007021171554803373,8.654051737072219e-05,6.539051406000834e-05,0.0012219155556489926,0.0005342984432831661,5.344873094175785e-05,5.344873094175785e-05,5.2458230369825665e-05,4.554455766980943e-05,2.5008924107405156e-05,0.00021849960598309924,1.533640746931471e-05,2.9870720180633428e-05,0.00013298363730258889,1.3410011519814774e-05,1.2447820839967677e-05,1.2447820839967677e-05,7.646903051317794e-06,6.688720111538461e-06,4.160938042429077e-05,2.86262626518095e-06,9.535492390268067e-07
Anomaly:Deviation - Altitude Undershoot,0.0015859970178861817,4.325483894888037e-05,3.268369552721778e-05,3.16853139360803e-05,9.868505533925341e-05,2.6714956442877753e-05,2.6714956442877753e-05,2.6219883857304255e-05,2.276428430528655e-05,1.250010485883378e-05,0.00010920892866908127,7.665541108955835e-06,1.4930146642360385e-05,6.646771631942192e-05,6.702679211123899e-06,6.221751559234816e-06,6.221751559234816e-06,3.822127610098383e-06,3.343202431824177e-06,2.0797396890878152e-05,1.4308183813988538e-06,4.766099312785658e-07
Anomaly:Deviation - Speed All Types,0.0013567577285379558,0.0013996730174137412,0.00045357115053931,0.0004885357673951249,0.00016690812407521571,1.4756148204632911e-05,0.0008643460169232842,0.00016823876312851808,5.121469587856739e-07,0.00040438693210736315,0.0007788379142731061,0.00024797592915880295,0.00048300983968602856,5.184733866368807e-07,0.00035093103051814147,0.00020126784130062095,0.00020126784130062095,0.0001236398971026613,0.00010814700031704788,0.0006728548176455629,4.628387800908497e-05,1.5417183467798454e-05
Anomaly:Deviation - Track / Heading All Types,0.0018947548352057399,5.3489943554417205e-05,0.0003607978424919056,0.0003497757240913321,6.556852585377481e-05,0.0002949039104412979,0.0002142883364597472,0.00022210249266375274,0.0002512902502230657,0.00013798245951854998,3.632780811776981e-05,8.461506782805189e-05,0.0004966856155640183,3.5498253761825915e-08,7.39864628210643e-05,6.867773546645473e-05,6.867773546645473e-05,4.2189642818803164e-05,3.690309699485271e-05,0.0003265611191963927,1.5793651716760476e-05,5.2609005134502534e-06
Anomaly:Deviation / Discrepancy - Procedural Clearance,0.0008161280770598786,0.003918951792650269,0.0002558382393165505,0.0010836874893108348,1.2626484836991692e-05,0.0005335836404202279,2.892539282033091e-06,0.00012483610087144978,0.00019980166470087019,0.00017756631843214056,0.0015689091448251,0.00016311772497786849,0.00037068537004238816,0.0008735171188588922,0.0007666680408043997,6.538299681876913e-08,0.0007116483877141963,0.000437146991561263,0.0003823656835726767,0.002379844905001066,0.0001636351166171071,5.450583688575931e-05
Anomaly:Deviation / Discrepancy - Procedural FAR,0.002125785736734387,0.0001971206304896625,0.003178239835652491,0.0027321470238906853,0.0011043683882851624,5.019074503788065e-05,0.001867419479089423,0.0014003098997704827,0.0010083658593902523,0.0006320465106437554,0.0015676445050330848,0.003846014129329032,0.008162262444992928,0.004231730002363945,8.76679218986846e-05,5.9251186703163095e-05,5.9251186703163095e-05,0.000418780046553921,0.0005704637932567452,0.0007445990973338097,0.00024412551827080083,8.131552101364736e-05
Anomaly:Deviation / Discrepancy - Procedural Hazardous Material Violation,0.00022012531556812182,0.0007047090808520425,0.0008729592332920155,0.0008920365005360871,0.0002962751613801752,8.020135002730251e-05,8.020135002730251e-05,7.871506555919353e-05,6.83408425706869e-05,3.75264699030535e-05,0.0003278721546769864,2.301260648518086e-05,4.482173518835508e-05,0.0001995478329738943,2.0122003388866466e-05,1.8678213839133304e-05,1.8678213839133304e-05,1.1474329998904971e-05,1.0036556245000307e-05,6.243597107533257e-05,4.2954250205106195e-06,1.4308183813988538e-06
Anomaly:Deviation / Discrepancy - Procedural Landing Without Clearance,7.332163442596868e-05,4.325483894888037e-05,3.268369552721778e-05,3.16853139360803e-05,9.868505533925341e-05,2.6714956442877753e-05,2.6714956442877753e-05,2.6219883857304255e-05,2.276428430528655e-05,1.250010485883378e-05,0.00010920892866908127,7.665541108955835e-06,1.4930146642360385e-05,6.646771631942192e-05,6.702679211123899e-06,6.221751559234816e-06,6.221751559234816e-06,3.822127610098383e-06,3.343202431824177e-06,2.0797396890878152e-05,1.4308183813988538e-06,4.766099312785658e-07
Anomaly:Deviation / Discrepancy - Procedural MEL / CDL,0.0017000588607431477,8.658161605141525e-05,0.00024427653018982073,0.00026563365931443414,5.353888294923337e-07,6.444054536706295e-06,0.0011911161385105371,8.250502245564159e-06,0.0005276640047110273,0.0002897289138925757,0.00090015458287542,0.0004520641050113896,0.0009572422196869827,0.0005318167303358344,0.00015535042547358893,0.00014420340186804478,0.00014420340186804478,0.0027354717131088755,7.748515608279813e-05,0.0004820671999194448,3.3161617670968493e-05,1.1046176329903602e-05
Anomaly:Deviation / Discrepancy - Procedural Other / Unknown,4.2627197123740884e-05,0.0003034330455989123,0.0002292726004061961,0.00022226871626567987,1.9239724548050785e-06,0.00018740080487705466,0.00018740080487705466,0.00044997195687607704,0.0005259810702927005,8.768416263742543e-05,2.3290465892607942e-07,5.3770877728127886e-05,0.00010473050248002713,6.601695301785681e-05,4.7016696250942736e-05,4.364314339612603e-05,4.364314339612603e-05,2.681062652614731e-05,2.3451149746838915e-05,0.0001458888159159115,1.0036556245000307e-05,3.343202431824177e-06
Anomaly:Deviation / Discrepancy - Procedural Published Material / Policy,0.0038461573620734157,7.212520800992106e-06,0.000667084402246304,7.880531173717897e-06,0.0037944212619474282,1.1473098405559434e-05,0.006151773268794496,0.0013511842528234827,2.8049708014774022e-05,0.005640995960648671,3.062656314861689e-05,0.0023823252155245186,0.004515361168499838,0.018551032297669058,0.0016752075370426184,2.5346272470021247e-05,0.0034461972035262677,0.00036747461842365214,0.004156039078504179,0.001519428648703719,0.001777254166976142,0.00038140107324741417
Anomaly:Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),0.00014669671360113302,8.654051737072219e-05,6.539051406000834e-05,6.339302819621459e-05,0.00019744340608427932,5.344873094175785e-05,5.344873094175785e-05,5.2458230369825665e-05,4.554455766980943e-05,2.5008924107405156e-05,0.00021849960598309924,1.533640746931471e-05,2.9870720180633428e-05,0.00013298363730258889,1.3410011519814774e-05,1.2447820839967677e-05,1.2447820839967677e-05,7.646903051317794e-06,6.688720111538461e-06,0.0014989325394168182,2.86262626518095e-06,9.535492390268067e-07
Anomaly:Deviation / Discrepancy - Procedural Weight And Balance,0.0008834042211545712,3.374934748052571e-05,0.0008496546943625484,0.00011649328629591196,0.0010949362951757705,0.00017788685213844784,0.00017788685213844784,0.0024340336736157105,0.0002438340141705424,0.0005451698915273171,0.0013159296940405546,9.233959649447565e-05,0.0004484148686316365,0.0018774774700850913,0.0009202031558649864,7.494731386772577e-05,7.494731386772577e-05,4.604109977781809e-05,4.0271944738079143e-05,0.00025053600742991344,1.723543041532924e-05,5.741158814400946e-06
Anomaly:Flight Deck / Cabin / Aircraft Event Illness / Injury,3.392886767492401e-05,3.033687422625275e-07,0.0005257323552228729,0.0005770719812289837,0.0001291238332511383,0.0007416870553915,0.0007416870553915,0.0007605265620549851,0.0003661599107312452,0.0002010542601692325,0.00038589291995472924,0.00012329186254107088,0.0003006408858624394,0.0011994866126152776,0.00010780488406320413,0.00010006953271477284,0.00010006953271477284,6.147385162708074e-05,5.3770877728127886e-05,0.00016010421746386668,2.301260648518086e-05,7.665541108955835e-06
Anomaly:Flight Deck / Cabin / Aircraft Event Other / Unknown,0.00017332375448103274,0.0016406499968876116,2.6728521660902144e-05,0.0008957613618570184,0.000488528113920559,1.3832446445413704e-06,0.0008860498944744943,0.00025593764440037803,0.0006435184486015683,0.000353337336924657,0.00013121555198459568,0.00021667267270039647,8.083706947880753e-05,0.00026857524040085554,0.000189455347580747,0.0001758610478149493,0.0001758610478149493,0.00010803263948518452,9.449548231031668e-05,0.0005879088419853476,4.044149205866161e-05,1.3471095034693799e-05
Anomaly:Flight Deck / Cabin / Aircraft Event Passenger Electronic Device,7.332163442596868e-05,0.0019369568296868749,0.0021263569854383735,0.0021474317385461886,9.868505533925341e-05,2.6714956442877753e-05,2.6714956442877753e-05,2.6219883857304255e-05,2.276428430528655e-05,1.250010485883378e-05,0.00010920892866908127,7.665541108955835e-06,1.4930146642360385e-05,6.646771631942192e-05,6.702679211123899e-06,6.221751559234816e-06,6.221751559234816e-06,3.822127610098383e-06,3.343202431824177e-06,2.0797396890878152e-05,1.4308183813988538e-06,4.766099312785658e-07
