,Airspace_Violation_All_Types,Conflict_Airborne_Conflict,"Conflict_Ground_Conflict,_Critical","Conflict_Ground_Conflict,_Less_Severe",Conflict_NMAC,Deviation_-_Altitude_Excursion_From_Assigned_Altitude,Deviation_-_Altitude_Overshoot,Deviation_-_Altitude_Undershoot,Deviation_-_Speed_All_Types,Deviation_-_Track___Heading_All_Types,Deviation___Discrepancy_-_Procedural_Clearance,Deviation___Discrepancy_-_Procedural_FAR,Deviation___Discrepancy_-_Procedural_Hazardous_Material_Violation,Deviation___Discrepancy_-_Procedural_Landing_Without_Clearance,Deviation___Discrepancy_-_Procedural_MEL___CDL,Deviation___Discrepancy_-_Procedural_Other___Unknown,Deviation___Discrepancy_-_Procedural_Published_Material___Policy,Deviation___Discrepancy_-_Procedural_Unauthorized_Flight_Operations_(UAS),Deviation___Discrepancy_-_Procedural_Weight_And_Balance,Inflight_Event___Encounter_Loss_Of_Aircraft_Control,Ground_Event___Encounter_Loss_Of_Aircraft_Control,Inflight_Event___Encounter_Unstabilized_Approach,Inflight_Event___Encounter_VFR_In_IMC,Inflight_Event___Encounter_CFTT___CFIT,Inflight_Event___Encounter_Fly_Away_(UAS),Inflight_Event___Encounter_Fuel_Issue,Ground_Event___Encounter_Fuel_Issue,Ground_Event___Encounter_Gear_Up_Landing
Chart_Or_Publication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company_Policy,0.000967214573,0.0014121046219999999,0.062239719982,0.011696739930000002,0.0024268358569999996,0.004388512018,0.00147507747,0.000147185473,0.014809078947000003,0.006009034135999999,0.057027378040999985,0.10240317059799998,0.001024891784,0.00010106957299999999,0.012858514942000002,0.003433670696999999,0.429364131993,0.0,0.010163979173999999,0.028439116663999994,0.164345280004,0.021836185621000002,0.000490915537,0.005020632541999999,0.004489560274,0.013656744491,0.004243096201,0.021219956920999997
Logbook_Entry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Procedure,0.00025670926399999996,0.000535495196,0.020988756627999997,0.003953446593,0.0008110457689999999,0.0016023089499999999,0.00045626747399999995,7.047897399999998e-05,0.005012604069,0.002245643882,0.021122745451999995,0.03896913924099999,0.00036886987399999994,5.167051399999999e-05,0.005441468307999998,0.001227338364,0.15628749453,0.0,0.0037353242039999996,0.009748872185,0.057345505848999986,0.007499734752999999,0.00018092961699999998,0.00166321763,0.0016337672709999997,0.005201071943,0.0017459278809999997,0.008208708728
Incorrect___Not_Installed___Unavailable_Part,0.00018893611299999996,0.001158074902,0.027646404841999997,0.0049643926800000005,0.0010868956689999998,0.003085313606,0.0005357571299999999,0.00026454456499999993,0.007180140740999999,0.004305694299999999,0.04095531775899999,0.07257683913199998,0.0006525938259999999,0.00018893611299999996,0.013441164362000001,0.002124129741,0.26247030856500003,0.0,0.0063163230119999995,0.015450642843999997,0.08855287369999996,0.011646520504999999,0.00032784722299999996,0.0022949322279999995,0.0033142393819999994,0.010941176131,0.004087499002999999,0.017365210681
Human_Factors,0.000159828113,0.000282419002,0.011439090376000003,0.002145972856,0.00044493387,0.0008547467779999999,0.000261015118,3.5389155e-05,0.002739095097,0.0011814351679999998,0.011180744352000001,0.020239158655999998,0.00019708852499999998,2.5051863e-05,0.0027394772959999994,0.000657346737,0.08262473338700002,0.0,0.001964638391,0.005320601255,0.030908887869,0.00408277357,9.551272499999999e-05,0.000918952221,0.0008771380749999999,0.0027292462160000003,0.0008870647190000001,0.004271809231
Software_and_Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aircraft,9.5460082e-05,0.000268937868,0.009310975825999998,0.001743578527,0.000359500112,0.000777527874,0.000192607006,4.2902254e-05,0.002254484529,0.0010965455139999999,0.010308532793000001,0.019027773099,0.000175422911,3.1585081999999994e-05,0.002894705226,0.000580124634,0.07391633193800001,0.0,0.0017740504970000003,0.004475994988,0.026377303390000002,0.003434103728,8.7060943e-05,0.0007380112249999999,0.0008000824399999999,0.002600526274,0.000911542233,0.004127242644000001
Airport,0.00012606810700000002,0.000131744118,0.006233815543999999,0.0011554434539999998,0.000247762284,0.000421433298,0.000166128182,1.1924429e-05,0.0015005932810000001,0.00055075614,0.005341305684,0.008940587062,9.834647900000001e-05,6.621857000000001e-06,0.001005931344,0.000331512291,0.039667201277000005,0.0,0.0009230609849999999,0.002888028935,0.016067731713,0.002198989848,4.5349557e-05,0.000523288271,0.000441696431,0.0012490780939999999,0.00034458583500000003,0.001883779469
Airspace_Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATC_Equipment___Nav_Facility___Buildings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipment___Tooling,0.000416005492,0.000610472968,0.027830878879999996,0.005260676848,0.0010797314639999999,0.00191474948,0.000647320184,5.709381999999999e-05,0.006568504292000001,0.0026446091839999997,0.02497261872,0.04558159144,0.00045123139599999995,4.0420491999999995e-05,0.005592224960000001,0.0015132762119999998,0.191284959516,0.0,0.00453880238,0.012510013403999999,0.07298813365199999,0.009637568919999999,0.00021708430799999997,0.0022197942759999995,0.0019385158519999999,0.005945425584,0.0018524773399999999,0.009276464203999999
